seed,condition,training_examples,accuracy,macro_precision,macro_recall,macro_f1
11,32_real,32,0.5318949343339587,0.5325392151229602,0.5318949343339587,0.5295662717304116
12,32_real,32,0.5337711069418386,0.5339010600706714,0.5337711069418387,0.5333238788760706
132,32_real,32,0.5206378986866792,0.52188013136289,0.5206378986866791,0.5137360552816528
144,32_real,32,0.525328330206379,0.5253286868366862,0.5253283302063789,0.5253266593449917
11,64_real,64,0.551594746716698,0.5541600617810836,0.551594746716698,0.5462213910410544
12,64_real,64,0.5375234521575984,0.5378175109975876,0.5375234521575984,0.5366226776599506
132,64_real,64,0.5609756097560976,0.5615615615615616,0.5609756097560976,0.5599284436493739
144,64_real,64,0.5440900562851783,0.5474585583025481,0.5440900562851783,0.5358540466156361
11,full_real,8530,0.7823639774859287,0.7823679532534277,0.7823639774859288,0.7823632113992847
